owner_name,portfolio_size,total_market_value,owner_address,mailing_address,entity_type,is_investor_entity,has_investor_name,has_po_box,has_business_address,portfolio_category,is_portfolio_investor,sample_properties,absentee_ratio,investor_score,investor_tier,score_reasons,tier_description
GARDENS OWNER LLC,1398,74931000.0,127 PUBLIC SQUARE SUITE 3150,PO BOX 9202,llc,True,False,False,True,institutional,True,"['3641 GOVERNORS CLUB BL', '3643 GOVERNORS CLUB BL', '3645 GOVERNORS CLUB BL', '3647 GOVERNORS CLUB BL', '3649 GOVERNORS CLUB BL']",1.0,74,tier_2,LLC entity (high investor probability); Institutional investor (1398 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Probable Investor - Strong prospect
UNIVERSITY VILLAGE SPE LLC,1126,83512500.0,6191 STATE HIGHWAY 161 STE 100,6191 N STATE HIGHWAY 161 STE 100,institution,False,False,False,True,institutional,True,"['485 HARLEY DR UNIT 01', '485 HARLEY DR UNIT 02', '485 HARLEY DR UNIT 03', '485 HARLEY DR UNIT 04', '485 HARLEY DR UNIT 05']",1.0,44,tier_3,Institutional investor (1126 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Possible Investor - Worth contacting
LC GAHANNA LLC,904,0.0,230 WEST STREET  STE 200,,llc,True,False,False,True,institutional,True,"['3891  PRESERVE CROSSING BL', '3893  PRESERVE CROSSING BL', '3895  PRESERVE CROSSING BL', '3897  PRESERVE CROSSING BL', '3899  PRESERVE CROSSING BL']",1.0,74,tier_2,LLC entity (high investor probability); Institutional investor (904 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Probable Investor - Strong prospect
GS OWNER LLC,820,105788000.0,2121 S GREEN RD STE 103,PO BOX 9202,llc,True,False,False,True,institutional,True,"['1157 BUNKER HILL BL', '1159 BUNKER HILL BL', '1163 BUNKER HILL BL', '1165 BUNKER HILL BL', '1161 BUNKER HILL BL UNIT 1161A']",1.0,74,tier_2,LLC entity (high investor probability); Institutional investor (820 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Probable Investor - Strong prospect
CENTRAL OHIO COMMUNITY IMPROVEMENT CORPORATION,509,16913500.0,845 PARSONS AVE,845 PARSONS AVENUE,corporation,True,False,False,False,institutional,True,"['1230 E SEVENTEENTH AV', '1206 WHITTIER ST', '1398 1400 GRANVILLE ST', '537 BULEN AV', '1330 HILDRETH AV']",0.9823182711198428,67,tier_2,Corporation (likely investor); Institutional investor (509 properties); 80%+ properties are absentee-owned,Probable Investor - Strong prospect
MERIDIAN RESIDENCES LLC,480,95639200.0,1401 ASCHINGER BLVD,PO BOX 9202,llc,True,False,False,False,institutional,True,"['1411 ASCHINGER BL', '1421 ASCHINGER BL', '1431 ASCHINGER BL', '1441 ASCHINGER BL', '1451 ASCHINGER BL']",1.0,70,tier_2,LLC entity (high investor probability); Institutional investor (480 properties); 80%+ properties are absentee-owned,Probable Investor - Strong prospect
VICTORIA MANOR GARDENS LLC,480,0.0,999 WATERSIDE DR STE 2300,,llc,True,False,False,True,institutional,True,"['2525 BELL CASTLE DR 101', '2525 BELL CASTLE DR 201', '2525 BELL CASTLE DR 301', '2525 BELL CASTLE DR 102', '2525 BELL CASTLE DR 202']",1.0,74,tier_2,LLC entity (high investor probability); Institutional investor (480 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Probable Investor - Strong prospect
EASTON 98GSOP LLC,473,0.0,211 BOULEVARD OF AMERICAS STE 108,,llc,True,False,False,True,institutional,True,"['4185 SUMMIT DR', '4187 SUMMIT DR', '4189 SUMMIT DR', '4191 SUMMIT DR', '4193 SUMMIT DR']",1.0,74,tier_2,LLC entity (high investor probability); Institutional investor (473 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Probable Investor - Strong prospect
ORO RB SPE OWNER LLC,436,42743600.0,"3556 RUSSELL ROAD, 2ND FLOOR",PO BOX 9202,llc,True,False,False,False,institutional,True,"['1316 RUNAWAY BAY DR #1A', '1316 RUNAWAY BAY DR #1B', '1316 RUNAWAY BAY DR #1C', '1316 RUNAWAY BAY DR #1D', '1316 RUNAWAY BAY DR #2A']",1.0,70,tier_2,LLC entity (high investor probability); Institutional investor (436 properties); 80%+ properties are absentee-owned,Probable Investor - Strong prospect
ALBION WM 1 LLC,420,90480000.0,188 W RANDOLPH ST STE 202,PO BOX 9202,llc,True,False,False,True,institutional,True,"['1646 CANVASBACK LN', '1648 CANVASBACK LN', '1650 CANVASBACK LN', '1652 CANVASBACK LN', '1654 CANVASBACK LN']",1.0,74,tier_2,LLC entity (high investor probability); Institutional investor (420 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Probable Investor - Strong prospect
FOX OWNER LLC,402,46267200.0,2121 SOUTH GREEN RD   SUITE 3,PO BOX 9202,llc,True,False,False,True,institutional,True,"['1014 BRIDGEWAY CR UNIT A', '1014 BRIDGEWAY CR UNIT B', '1014 BRIDGEWAY CR UNIT C', '1014 BRIDGEWAY CR UNIT D', '1018 BRIDGEWAY CR UNIT A']",1.0,74,tier_2,LLC entity (high investor probability); Institutional investor (402 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Probable Investor - Strong prospect
WALDEN LAKES GARDENS LLC,360,0.0,999 WATERSIDE DR STE 2300,,llc,True,False,False,True,institutional,True,"['2661 INSPIRATION TRAIL LN #101', '2661 INSPIRATION TRAIL LN #201', '2661 INSPIRATION TRAIL LN #301', '2661 INSPIRATION TRAIL LN #102', '2661 INSPIRATION TRAIL LN #202']",1.0,74,tier_2,LLC entity (high investor probability); Institutional investor (360 properties); 80%+ properties are absentee-owned; Business address (suite/floor),Probable Investor - Strong prospect
