owner_name,portfolio_size,total_market_value,owner_address,mailing_address,entity_type,is_investor_entity,has_investor_name,has_po_box,has_business_address,portfolio_category,is_portfolio_investor,sample_properties,absentee_ratio,investor_score,investor_tier,score_reasons,tier_description
ARDMORE PROPERTY LLC,348,0.0,3809 CLARKS LN STE 100,,llc,True,True,False,True,institutional,True,"['51 MAYFAIR BL A', '51 MAYFAIR BL B', '51 MAYFAIR BL C', '51 MAYFAIR BL D', '63 MAYFAIR BL A']",1.0,84,tier_1,"LLC entity (high investor probability); Institutional investor (348 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
SOUTH 20TH STREET PROPERTIES LLC,312,0.0,5000 ARLINGTON CENTRE BLVD,,llc,True,True,False,False,institutional,True,"['630 E WOODROW AV APT A', '630 E WOODROW AV APT B', '630 E WOODROW AV APT C', '630 E WOODROW AV APT D', '630 E WOODROW AV APT E']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (312 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
ELAN PARK HOLDING LLC,252,0.0,750 COMMUNICATIONS PKWY SUITE 200,750 COMMUNICATIONS PKWY STE 200,llc,True,True,False,True,institutional,True,"['3432 SENNA XANDER # 101', '3432 SENNA XANDER # 102', '3432 SENNA XANDER # 103', '3432 SENNA XANDER # 104', '3432 SENNA XANDER # 105']",1.0,84,tier_1,"LLC entity (high investor probability); Institutional investor (252 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
XANDER ON STATE HOLDING LLC,229,0.0,10573 W PICO BLVD  PMB #603,10573 W PICO BLVD,llc,True,True,False,False,institutional,True,"['265 E STATE ST # 101', '265 E STATE ST # 102', '265 E STATE ST # 103', '265 E STATE ST # 104', '265 E STATE ST # 105']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (229 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
BTR SUTTON SQUARE PROPERTY LLC,200,16290000.0,C/O BTR MANAGEMENT  842 LUBLIN TERRACE,PO BOX 9202,llc,True,True,False,False,institutional,True,"['1773 ELAINE RD', '1777 ELAINE RD', '1781 ELAINE  RD', '1785 ELAINE RD', '4004 N ELAINE  PL']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (200 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
VINEBROOK HOMES BORROWER 1 LLC,179,22677300.0,3500 PARK CENTER DR STE#100,16220 N SCOTTSDALE RD STE 650,llc,True,True,False,True,institutional,True,"['614 MOLER ST', '176 S BURGESS AV', '146 WREXHAM AV', '2210 MARGARET AV', '2539 LEXINGTON AV']",1.0,84,tier_1,"LLC entity (high investor probability); Institutional investor (179 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
COLUMBUS PROPERTIES KP6 LLC,143,0.0,ONE TOWN CENTER ROAD SUITE 300,,llc,True,True,False,True,institutional,True,"['76 E 9TH AV UNIT 101', '76 E 9TH AV UNIT 102', '76 E 9TH AV UNIT 103', '76 E 9TH AV UNIT 104', '76 E 9TH AV UNIT 105']",1.0,84,tier_1,"LLC entity (high investor probability); Institutional investor (143 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
ROG HOLDINGS LLC,107,8421200.0,380 POLARIS PARKWAY SUITE 135,380 POLARIS PARKWAY STE 135,llc,True,True,False,True,institutional,True,"['1400 HOLLYBRIER 101 DR', '1400 HOLLYBRIER 102 DR', '1400 HOLLYBRIER 103 DR', '1400 HOLLYBRIER 104 DR', '1400 HOLLYBRIER 105 DR']",1.0,84,tier_1,"LLC entity (high investor probability); Institutional investor (107 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
VINEBROOK HOMES BORROWER 2 LLC,96,16957800.0,3500 PARK CENTER DR STE 100,16220 N SCOTTSDALE RD STE 650,llc,True,True,False,True,institutional,True,"['3467 DESHLER AV', '3070 GRASMERE AV', '738 BRADWELL DR', '3826 FERGUS RD', '3600 MEDINA AV']",1.0,84,tier_1,"LLC entity (high investor probability); Institutional investor (96 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
KSI REALTY HOLDINGS LLC,82,6688300.0,1820 NORTHWEST BLVD STE 200,5338 STOCKTON CT,llc,True,True,False,True,institutional,True,"['406 408 MORRISON AV', '954 966 WHITTIER', '684 686 CARPENTER ST', '597 601 OAK ST', '5457 WELLINGTON WOODS BL']",1.0,84,tier_1,"LLC entity (high investor probability); Institutional investor (82 properties); 80%+ properties are absentee-owned; Business address (suite/floor); Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
JOVIE INVESTMENTS-EPOCH LLC,73,89300.0,3688 CLEVELAND AVE,1303 121ST AVE SE,llc,True,True,False,False,institutional,True,"['3694 CLEVELAND AV', '3668 CLEVELAND AV A1', '3668 CLEVELAND AV A2', '3668 CLEVELAND AV A3', '3668 CLEVELAND AV A4']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (73 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
BHT PROPERTIES LLC,72,4412400.0,3500 CEMETERY RD,3500 CEMETERY ROAD,llc,True,True,False,False,institutional,True,"['5467 WELLINGTON WOODS BL', '5473 WELLINGTON WOODS BL', '5475 WELLINGTON WOODS BL', '5481 WELLINGTON WOODS BL', '5483 WELLINGTON WOODS BL']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (72 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
DF PREMIER HOMES LLC,68,11256100.0,"320 CENTRAL  AVE., #211",PO BOX 340650,llc,True,True,False,False,institutional,True,"['1123 1129 CHAMPION AV', '782 784 S OHIO AV', '884 886 E LIVINGSTON AV', '1003 1005 E LIVINGSTON AV', '508 WOODROW AV']",0.9852941176470589,80,tier_1,"LLC entity (high investor probability); Institutional investor (68 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
ELKAH BROTHERS REALTY LLC,60,916500.0,PO BOX 247555,148 CYPRESS ST SW,llc,True,True,True,False,institutional,True,"['0 WINDSOR AV', '0 WINDSOR AV', '0 WINDSOR AV', '0 WINDSOR AV', '0 WINDSOR AV']",1.0,86,tier_1,"LLC entity (high investor probability); Institutional investor (60 properties); 80%+ properties are absentee-owned; PO Box address; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
