owner_name,portfolio_size,total_market_value,owner_address,mailing_address,entity_type,is_investor_entity,has_investor_name,has_po_box,has_business_address,portfolio_category,is_portfolio_investor,sample_properties,absentee_ratio,investor_score,investor_tier,score_reasons,tier_description
ANDERSON TOWNSHIP BOARD OF TRUSTEES,706,0,,,government,False,False,False,False,institutional,True,"['6082 ORCHARD DR', 'FOREST PINE DR', 'NOTTINGHAM DR', 'TRILLIUM RIDGE LN', 'NORDYKE RD']",1.0,40,tier_3,Institutional investor (706 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
,449,0,,,unknown,False,False,False,False,institutional,True,"[nan, nan, nan, nan, nan]",1.0,40,tier_3,Institutional investor (449 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
BLUE ASH CITY OF,357,0,,,government,False,False,False,False,institutional,True,"['TOWNE SQUARE AVE', '9316 LEWIS AVE', '9314 LEWIS AVE', 'TOWNE SQUARE AVE', 'DONJOY DR']",1.0,40,tier_3,Institutional investor (357 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
BHM SKYTOP TH LLC,284,0,1429 KING AVECOLUMBUS OH 43212,BHM SKYTOP TH LLC 1429 KING AVECOLUMBUS OH 43212,llc,True,False,False,False,institutional,True,"['5280 104 BEECHMONT AVE', '5280 105 BEECHMONT AVE', '5280 106 BEECHMONT AVE', '5280 107 BEECHMONT AVE', '5280 108 BEECHMONT AVE']",1.0,70,tier_2,LLC entity (high investor probability); Institutional investor (284 properties); 80%+ properties are absentee-owned,Probable Investor - Strong prospect
LEES CROSSING LLC,276,0,,,llc,True,False,False,False,institutional,True,"['5355 LEES CROSSING DR', '5355 LEES CROSSING DR', '5355 LEES CROSSING DR', '5355 LEES CROSSING DR', '5355 LEES CROSSING DR']",1.0,70,tier_2,LLC entity (high investor probability); Institutional investor (276 properties); 80%+ properties are absentee-owned,Probable Investor - Strong prospect
SYCAMORE TOWNSHIP BOARD OF TRUSTEES,206,0,,,government,False,False,False,False,institutional,True,"['HOSBROOK RD', '12095 SIXTH AVE', '7862 COLUMBIA AVE', '7842 COLUMBIA AVE', '7840 COLUMBIA AVE']",1.0,40,tier_3,Institutional investor (206 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
BLUE ASH CITY OF THE,202,0,,,government,False,False,False,False,institutional,True,"['CYNTHIA CT', 'ELIZABETH PL', 'BRITTANY DR', 'BRITTANY DR', 'TOWNE SQUARE AVE']",1.0,40,tier_3,Institutional investor (202 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
SYMMES TOWNSHIP BOARD OF TRUSTEES,201,0,,,government,False,False,False,False,institutional,True,"['11601 RICH RD', 'WINDY HILL CT', 'SLEEPY RIDGE DR', 'RICH RD', 'BRENTMOOR DR']",1.0,40,tier_3,Institutional investor (201 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
HILLSIDE TRUST THE,156,0,,,trust,True,False,False,False,institutional,True,"['2500 ELSTUN RD', 'SUTTON RD', 'SALEM HILLS LN', '3660 KROGER AVE', '560 WALLACE AVE']",1.0,58,tier_3,Trust entity (possible investor); Institutional investor (156 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
LOVELAND CITY OF,118,0,,,government,False,False,False,False,institutional,True,"['10698 BETTY RAY DR', 'BETTY RAY DR', 'WALL ST', 'WALL ST', '211 RIVERSIDE DR']",1.0,40,tier_3,Institutional investor (118 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
CHRIST HOSPITAL THE,92,0,,,institution,False,False,False,False,institutional,True,"['4400 RED BANK RD', '226 EARNSHAW AVE', '224 EARNSHAW AVE', '214 EARNSHAW AVE', '216 EARNSHAW AVE']",1.0,40,tier_3,Institutional investor (92 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
MEYER MANAGEMENT INC,88,0,,,corporation,True,False,False,False,institutional,True,"['1233 NEFF AVE', '648 DELHI AVE', '752 DELHI AVE', '750 DELHI AVE', '748 DELHI AVE']",1.0,67,tier_2,Corporation (likely investor); Institutional investor (88 properties); 80%+ properties are absentee-owned,Probable Investor - Strong prospect
LMRK OWNER I LLC,83,0,,,llc,True,False,False,False,institutional,True,"['6095 WAYSIDE CT', '2330 W MCMICKEN AVE', '5242 NEWFIELD AVE', '6426 HILLSIDE AVE', 'HILLSIDE AVE']",1.0,70,tier_2,LLC entity (high investor probability); Institutional investor (83 properties); 80%+ properties are absentee-owned,Probable Investor - Strong prospect
CHILDRENS HOSPITAL MEDICAL CENTER,72,0,,,institution,False,False,False,False,institutional,True,"['WEHRMAN AVE', '644 EDEN PARK DR', '3011 VERNON PL', '538 OAK ST', '2912 VERNON PL']",1.0,40,tier_3,Institutional investor (72 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
GABLE EDWARD,71,0,,,individual,False,False,False,False,institutional,True,"['2832 MINTO AVE', '2229 KENTON ST', '547 W MCMICKEN AVE', '2517 ADDISON ST', 'LIBERTY ST']",1.0,40,tier_3,Institutional investor (71 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
LOT KING LIMITED PARTNERSHIP,69,0,,,partnership,True,False,False,False,institutional,True,"['5805 BERTE ST', '5804 PANAMA AVE', '167 RENSLAR AVE', '245 DELTA AVE', '241 DELTA AVE']",1.0,65,tier_2,Partnership (likely investor); Institutional investor (69 properties); 80%+ properties are absentee-owned,Probable Investor - Strong prospect
MARTIN MEDIA,67,0,,,individual,False,False,False,False,institutional,True,"['4812 CHURCH PL', 'RED BANK RD', 'RED BANK RD', '870 DELLWAY ST', '3295 BERESFORD AVE']",1.0,40,tier_3,Institutional investor (67 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
PENNSYLVANIA LINES LLC,65,0,,,llc,True,False,False,False,institutional,True,"[nan, nan, 'SIXTY-NINTH ST', 'SIXTY-NINTH ST', nan]",1.0,70,tier_2,LLC entity (high investor probability); Institutional investor (65 properties); 80%+ properties are absentee-owned,Probable Investor - Strong prospect
MAKO PROPERTY GROUP LLC,64,0,,,llc,True,True,False,False,institutional,True,"['4336 SIMPSON AVE', '1940 CLARION AVE', '234 GILMAN AVE', '914 LEXINGTON AVE', '1925 TRUITT AVE']",1.0,80,tier_1,"LLC entity (high investor probability); Institutional investor (64 properties); 80%+ properties are absentee-owned; Name contains investor keywords (Properties, Holdings, etc.)",High-Confidence Investor - Prime prospect
