owner_name,portfolio_size,total_market_value,owner_address,mailing_address,entity_type,is_investor_entity,has_investor_name,has_po_box,has_business_address,portfolio_category,is_portfolio_investor,sample_properties,absentee_ratio,investor_score,investor_tier,score_reasons,tier_description
ANDERSON TOWNSHIP BOARD OF TRUSTEES,706,0,,,government,False,False,False,False,institutional,True,"['6082 ORCHARD DR', 'FOREST PINE DR', 'NOTTINGHAM DR', 'TRILLIUM RIDGE LN', 'NORDYKE RD']",1.0,40,tier_3,Institutional investor (706 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
,449,0,,,unknown,False,False,False,False,institutional,True,"[nan, nan, nan, nan, nan]",1.0,40,tier_3,Institutional investor (449 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
BLUE ASH CITY OF,357,0,,,government,False,False,False,False,institutional,True,"['TOWNE SQUARE AVE', '9316 LEWIS AVE', '9314 LEWIS AVE', 'TOWNE SQUARE AVE', 'DONJOY DR']",1.0,40,tier_3,Institutional investor (357 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
SYCAMORE TOWNSHIP BOARD OF TRUSTEES,206,0,,,government,False,False,False,False,institutional,True,"['HOSBROOK RD', '12095 SIXTH AVE', '7862 COLUMBIA AVE', '7842 COLUMBIA AVE', '7840 COLUMBIA AVE']",1.0,40,tier_3,Institutional investor (206 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
BLUE ASH CITY OF THE,202,0,,,government,False,False,False,False,institutional,True,"['CYNTHIA CT', 'ELIZABETH PL', 'BRITTANY DR', 'BRITTANY DR', 'TOWNE SQUARE AVE']",1.0,40,tier_3,Institutional investor (202 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
SYMMES TOWNSHIP BOARD OF TRUSTEES,201,0,,,government,False,False,False,False,institutional,True,"['11601 RICH RD', 'WINDY HILL CT', 'SLEEPY RIDGE DR', 'RICH RD', 'BRENTMOOR DR']",1.0,40,tier_3,Institutional investor (201 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
HILLSIDE TRUST THE,156,0,,,trust,True,False,False,False,institutional,True,"['2500 ELSTUN RD', 'SUTTON RD', 'SALEM HILLS LN', '3660 KROGER AVE', '560 WALLACE AVE']",1.0,58,tier_3,Trust entity (possible investor); Institutional investor (156 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
LOVELAND CITY OF,118,0,,,government,False,False,False,False,institutional,True,"['10698 BETTY RAY DR', 'BETTY RAY DR', 'WALL ST', 'WALL ST', '211 RIVERSIDE DR']",1.0,40,tier_3,Institutional investor (118 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
CHRIST HOSPITAL THE,92,0,,,institution,False,False,False,False,institutional,True,"['4400 RED BANK RD', '226 EARNSHAW AVE', '224 EARNSHAW AVE', '214 EARNSHAW AVE', '216 EARNSHAW AVE']",1.0,40,tier_3,Institutional investor (92 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
CHILDRENS HOSPITAL MEDICAL CENTER,72,0,,,institution,False,False,False,False,institutional,True,"['WEHRMAN AVE', '644 EDEN PARK DR', '3011 VERNON PL', '538 OAK ST', '2912 VERNON PL']",1.0,40,tier_3,Institutional investor (72 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
GABLE EDWARD,71,0,,,individual,False,False,False,False,institutional,True,"['2832 MINTO AVE', '2229 KENTON ST', '547 W MCMICKEN AVE', '2517 ADDISON ST', 'LIBERTY ST']",1.0,40,tier_3,Institutional investor (71 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
MARTIN MEDIA,67,0,,,individual,False,False,False,False,institutional,True,"['4812 CHURCH PL', 'RED BANK RD', 'RED BANK RD', '870 DELLWAY ST', '3295 BERESFORD AVE']",1.0,40,tier_3,Institutional investor (67 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
CHILDRENS HOSPITAL MEDICAL,38,0,,,institution,False,False,False,False,institutional,True,"['2915 READING RD', '319 ALBERT SABIN WY', '3310 ALBERT SABIN WY', '3255 BURNET AVE', '3245 BURNET AVE']",1.0,40,tier_3,Institutional investor (38 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
KNOLLS HOMEOWNERS ASSOCIATION INC THE,35,0,,,nonprofit,False,False,False,False,institutional,True,"['GLENSPRINGS DR', 'GLENSPRINGS DR', 'OAKWOOD CT', 'GLENSPRINGS DR', 'GLENSPRINGS DR']",1.0,40,tier_3,Institutional investor (35 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
CHESAPEAKE & OHIO RAILWAY,33,0,,,institution,False,False,False,False,institutional,True,"['LINN ST', 'LINN ST', 'LINN ST', nan, nan]",1.0,40,tier_3,Institutional investor (33 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
EVENDALE OHIO VILLAGE OF THE,33,0,,,individual,False,False,False,False,institutional,True,"['WYSCARVER RD', 'READING RD', 'GLENDALE MILFORD RD', '10270 READING RD', 'ARBORHILL LN']",1.0,40,tier_3,Institutional investor (33 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
HILTON MICHAEL R & JENNIFER C,32,0,,,individual,False,False,False,False,institutional,True,"['38 ESCALON ST', '16 E CHARLOTTE AVE', '618 LIDDLE LN', '160 JOLIET AVE', '24 ORCHARD ST']",1.0,40,tier_3,Institutional investor (32 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
CHEVIOT CITY OF THE,31,0,,,government,False,False,False,False,institutional,True,"['MAYWOOD CT', 'RUTH LN', 'LOVELL AVE', '3812 LOVELL AVE', 'LOVELL AVE']",1.0,40,tier_3,Institutional investor (31 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
ANDERSON TOWNSHIP,31,0,,,government,False,False,False,False,institutional,True,"['ANDERSON COVE LN', 'TRAILVIEW', 'EIGHT MILE RD', '7832 YMCA RD', '7862 ANCHOR RD']",1.0,40,tier_3,Institutional investor (31 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
MERIANOS TED,29,0,,,individual,False,False,False,False,institutional,True,"['5841 PAMELEEN CT', '5860 PAMELEEN CT', '2893 MALIBU CT', '8457 JACKIES DR', '8325 LYNESS DR']",1.0,40,tier_3,Institutional investor (29 properties); 80%+ properties are absentee-owned,Possible Investor - Worth contacting
