owner_name,owner_address,mailing_address,portfolio_size,investor_score
ARDMORE PROPERTY LLC,3809 CLARKS LN STE 100,,348,84
SOUTH 20TH STREET PROPERTIES LLC,5000 ARLINGTON CENTRE BLVD,,312,80
ELAN PARK HOLDING LLC,750 COMMUNICATIONS PKWY SUITE 200,750 COMMUNICATIONS PKWY STE 200,252,84
XANDER ON STATE HOLDING LLC,10573 W PICO BLVD  PMB #603,10573 W PICO BLVD,229,80
BTR SUTTON SQUARE PROPERTY LLC,C/O BTR MANAGEMENT  842 LUBLIN TERRACE,PO BOX 9202,200,80
VINEBROOK HOMES BORROWER 1 LLC,3500 PARK CENTER DR STE#100,16220 N SCOTTSDALE RD STE 650,179,84
COLUMBUS PROPERTIES KP6 LLC,ONE TOWN CENTER ROAD SUITE 300,,143,84
ROG HOLDINGS LLC,380 POLARIS PARKWAY SUITE 135,380 POLARIS PARKWAY STE 135,107,84
VINEBROOK HOMES BORROWER 2 LLC,3500 PARK CENTER DR STE 100,16220 N SCOTTSDALE RD STE 650,96,84
KSI REALTY HOLDINGS LLC,1820 NORTHWEST BLVD STE 200,5338 STOCKTON CT,82,84
JOVIE INVESTMENTS-EPOCH LLC,3688 CLEVELAND AVE,1303 121ST AVE SE,73,80
BHT PROPERTIES LLC,3500 CEMETERY RD,3500 CEMETERY ROAD,72,80
DF PREMIER HOMES LLC,"320 CENTRAL  AVE., #211",PO BOX 340650,68,80
ELKAH BROTHERS REALTY LLC,PO BOX 247555,148 CYPRESS ST SW,60,86
GDT PROPERTIES LLC,3500 CEMETERY RD,3500 CEMETERY ROAD,54,80
OLENTANGY OWNERSHIP HOLDING CO LLC,380 POLARIS PKWY STE 135,,53,81
COMMUNITY PROPERTIES REVITALIZATION I LLC,671 S HIGH ST # 6,2001 ROSS AVENUE STE 1900,53,80
ELIM ESTATES HOMES LLC,3443 AGLER RD,160 W MAIN ST STE 200,49,80
WINDWOOD PROPERTIES LLC,7118 STERTZ RD,7118 STEITZ ROAD,41,80
MARBLE PROPERTIES LLC,PO BOX 80,PO BOX 820,41,81
WHITTIER LANDING HOMES LLC,3443 AGLER RD,370 S 5TH ST SUITE 2,41,80
WEINLAND PARK HOMES LLC,5309 TRANSPORTATION BLVD,PO BOX 2418,40,80
BOULEVARD HOMES LLC,5309 TRANSPORTATION BLVD,PO BOX 2418,40,80
HILLTOP HOMES II LLC,3443 AGLER RD,370 S 5TH ST SUITE 2,39,80
DONAHEY PROPERTIES LLC,471 E BROAD ST SUITE 1520,471 E BROAD ST STE 1520,38,84
INN TOWN HOLDINGS II LLC,442 NORTHWOOD AVE,442 E NORTHWOOD AVE,38,80
SCHWARTZ RENTAL LLC,PO BOX 13256,74 GOLF ESTATES DR,38,86
CAPGROW HOLDINGS JV SUB IX LLC,320 N OHIO ST STE#650N,320 W OHIO ST STE 650,38,84
SOUTHERN GATEWAY HOMES LLC,5309 TRANSPORTATION BLVD,PO BOX 2418,37,80
HWG PROPERTIES LLC,2163 SOUTH PARK AVENUE,PO BOX 9202,36,80
KENMORE REALTY LLC,P.O. BOX 307144,PO BOX 307144,36,86
DUXBERRY LANDING HOMES LLC,3443 AGLER RD,370 S 5TH ST SUITE 2,35,80
LEGACY HOME INVESTMENTS LLC,1600 SOUTH 6TH ST,901 CORPORATE CENTER DR,35,80
KJB HOMES LLC,PO BOX 1857,PO BOX 1857,35,81
DEQSAN REALTY LLC,5709 GREAT HALL COURT,5709 GREAT HALL CT,35,80
CITY VIEW HOMES LLC,3443 AGLER RD,370 S 5TH ST SUITE 2,34,80
