business_name,address,city,state,portfolio_size,investor_score
ARDMORE PROPERTY LLC,3809 CLARKS LN STE 100,Columbus,OH,348,84
SOUTH 20TH STREET PROPERTIES LLC,5000 ARLINGTON CENTRE BLVD,Columbus,OH,312,80
ELAN PARK HOLDING LLC,750 COMMUNICATIONS PKWY STE 200,Columbus,OH,252,84
XANDER ON STATE HOLDING LLC,10573 W PICO BLVD,Columbus,OH,229,80
BTR SUTTON SQUARE PROPERTY LLC,PO BOX 9202,Columbus,OH,200,80
VINEBROOK HOMES BORROWER 1 LLC,16220 N SCOTTSDALE RD STE 650,Columbus,OH,179,84
COLUMBUS PROPERTIES KP6 LLC,ONE TOWN CENTER ROAD SUITE 300,Columbus,OH,143,84
ROG HOLDINGS LLC,380 POLARIS PARKWAY STE 135,Columbus,OH,107,84
VINEBROOK HOMES BORROWER 2 LLC,16220 N SCOTTSDALE RD STE 650,Columbus,OH,96,84
KSI REALTY HOLDINGS LLC,5338 STOCKTON CT,Columbus,OH,82,84
JOVIE INVESTMENTS-EPOCH LLC,1303 121ST AVE SE,Columbus,OH,73,80
BHT PROPERTIES LLC,3500 CEMETERY ROAD,Columbus,OH,72,80
DF PREMIER HOMES LLC,PO BOX 340650,Columbus,OH,68,80
ELKAH BROTHERS REALTY LLC,148 CYPRESS ST SW,Columbus,OH,60,86
GDT PROPERTIES LLC,3500 CEMETERY ROAD,Columbus,OH,54,80
OLENTANGY OWNERSHIP HOLDING CO LLC,380 POLARIS PKWY STE 135,Columbus,OH,53,81
COMMUNITY PROPERTIES REVITALIZATION I LLC,2001 ROSS AVENUE STE 1900,Columbus,OH,53,80
ELIM ESTATES HOMES LLC,160 W MAIN ST STE 200,Columbus,OH,49,80
WINDWOOD PROPERTIES LLC,7118 STEITZ ROAD,Columbus,OH,41,80
MARBLE PROPERTIES LLC,PO BOX 820,Columbus,OH,41,81
WHITTIER LANDING HOMES LLC,370 S 5TH ST SUITE 2,Columbus,OH,41,80
WEINLAND PARK HOMES LLC,PO BOX 2418,Columbus,OH,40,80
BOULEVARD HOMES LLC,PO BOX 2418,Columbus,OH,40,80
HILLTOP HOMES II LLC,370 S 5TH ST SUITE 2,Columbus,OH,39,80
DONAHEY PROPERTIES LLC,471 E BROAD ST STE 1520,Columbus,OH,38,84
INN TOWN HOLDINGS II LLC,442 E NORTHWOOD AVE,Columbus,OH,38,80
