slug,address,city,zip,state,neighborhood,lead_type,assessed_value,val_low,val_high,taxes_owed,years_delinquent,source_file,imported_at
392-midland-av-columbus-oh,392 Midland Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
350-352-12-innis-av-columbus-oh,350 352 1/2 Innis Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
2227-w-broad-st-columbus-oh,2227 W Broad St,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
584-siebert-st-columbus-oh,584 Siebert St,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1355-1359-grandview-av-columbus-oh,1355 1359 Grandview Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
294-midland-av-columbus-oh,294 Midland Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
242-n-grant-av-columbus-oh,242 N Grant Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1220-e-sixteenth-av-columbus-oh,1220 E Sixteenth Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
0-homewood-av-columbus-oh,0 Homewood Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
190-n-warren-columbus-oh,190 N Warren,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1468-e-fourth-av-columbus-oh,1468 E Fourth Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1890-cleveland-av-columbus-oh,1890 Cleveland Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
2200-cleveland-av-columbus-oh,2200 Cleveland Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
598-e-markison-av-columbus-oh,598 E Markison Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1572-walsh-av-columbus-oh,1572 Walsh Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
0-w-mound-st-columbus-oh,0 W Mound St,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1012-n-cleveland-av-columbus-oh,1012 N Cleveland Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1219-e-fulton-st-columbus-oh,1219 E Fulton St,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
514-wilson-av-columbus-oh,514 Wilson Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1247-mcallister-av-columbus-oh,1247 Mcallister Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1231-hildreth-av-columbus-oh,1231 Hildreth Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
528-s-oakley-av-columbus-oh,528 S Oakley Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1380-mt-vernon-av-columbus-oh,1380 Mt Vernon Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1056-cable-av-columbus-oh,1056 Cable Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1832-minnesota-av-columbus-oh,1832 Minnesota Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
776-n-drexel-av-columbus-oh,776 N Drexel Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
863-studer-av-columbus-oh,863 Studer Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
218-lechner-av-columbus-oh,218 Lechner Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1936-floral-av-columbus-oh,1936 Floral Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
412-clarendon-av-columbus-oh,412 Clarendon Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
2581-parkwood-av-columbus-oh,2581 Parkwood Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
64-brehl-av-columbus-oh,64 Brehl Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
688-lilley-av-columbus-oh,688 Lilley Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
536-ryan-av-columbus-oh,536 Ryan Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
374-376-welch-av-columbus-oh,374 376 Welch Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
870-e-twelfth-av-columbus-oh,870 E Twelfth Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
182-188-e-thirteenth-av-columbus-oh,182 188 E Thirteenth Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
179-nashoba-av-columbus-oh,179 Nashoba Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1094-leona-av-columbus-oh,1094 Leona Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1010-e-deshler-av-columbus-oh,1010 E Deshler Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
95-s-warren-av-columbus-oh,95 S Warren Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1431-e-eastwood-av-columbus-oh,1431 E Eastwood Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
499-bonham-av-columbus-oh,499 Bonham Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
2148-avalon-pl-columbus-oh,2148 Avalon Pl,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
859-861-old-leonard-av-columbus-oh,859 - 861  Old Leonard Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
982-e-twelfth-av-columbus-oh,982 E Twelfth Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1396-studer-av-columbus-oh,1396 Studer Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
840-842-w-sullivant-av-columbus-oh,840 842 W Sullivant Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
145-s-warren-av-columbus-oh,145 S Warren Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
1075-miller-av-columbus-oh,1075 Miller Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
892-heyl-av-columbus-oh,892 Heyl Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
319-kendall-pl-columbus-oh,319 Kendall Pl,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
171-s-warren-av-columbus-oh,171 S Warren Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
22-innis-av-columbus-oh,22 Innis Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
3387-deshler-av-columbus-oh,3387 Deshler Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
764-st-clair-av-columbus-oh,764 St Clair Av,Columbus,,OH,Columbus,motivated_seller,,,,,,fresh 1.csv,2026-02-16
